document,label
"스포일러가 포함된 감상평입니다. 감상평 보기
",1
"화려한 액션 그닥 없습니다히어로물에 안맞게 너무 감동에맛 몰두한 느낌
",0
"그저 그럼 진짜 그저 그럼
",0
"95% 사랑씬5% 전투씬더럽게 재미없고 나중에 다운받아보세요
",0
"갤 가돗이 예쁘다. 끝...
",0
"올해 최악의 영화ㅡ 주인공은 원더우먼이 아니라 딴놈인듯
",0
"억지스러움이 도를 넘는다.
",0
"1편에 비해 액션씬도 줄었고 스토리도 재미가 없었다. 악당 연기하는 분이 연기력이 쩔어 원더우먼이 조연 같았다
",0
"코로나땜시 자동차극장에서 보는데 진짜 차몰고 나가고 싶음나의 평점은...원더우먼이 약해져 있는 장면 보며 이 영화도 그런느낌.. .공감이 전혀안됨2020년 최악의 영화다른분들  영화보는데 방해되니 출발도 못하고 마지...
",0
"오랜만에 히어로 무비기대했는데 히어로물의액션은 별로 없이 지루한 전개로 그냥 판타지가섞인 멜로,드라마같은 느낌ㅠ 전편을 재밌게 본사람으로 많이 실망이에요..
",0
"영화 제작기법까지 1984로 후퇴한 영화개연성없는 러브씬, 진부한 스토리와 흡입력없는 빌런, 쓸데없이 긴 러닝타임, 정점은 막나가는 전투씬
",0
"근래 본 영화중에 유치함이 1등입니다..초,중학생용 입니다.유치해서 영화보는도중 소름이 여러번 돋았네요...참고하세요..
",0
"전개가 너무 루즈하다. 군더더기 다 빼면 이 영화는 1시간으로 요약할 수 있을 것
",0
"중반까지 괜춘하다가 갈수록 개연성 엉망 ㅠ
",0
"스토리 별로 ....ㅜ 아쉽
",0
"지루한장면이 많은 영화.
",0
"갤가돗은 예쁨
",0
"DC는 안되나보다. 감독 제정신임??
",0
"감독 심형래 인가요??
",0
"영화가 산만함. 내가 포인트를 놓친게 아닌가 싶엇는데, 그냥 못만든 영화의 한 전형임. 추천 절대 안하고 1점줄랫는데 걍 여주 이뻐서 1점 더
",0
"스토리 개연성 꽝입니다ㅠ 액션신이나 배우가 예쁜건 굿..
",0
"여주인공이 너무 이뻐용 ..
",1
"원더우먼은 반가웠지만 아쉬움이 남는건 왜일까?
",0
"어휴ㅠ 너무 지루했어요. 원더우먼 특유의 긴장감과 박진감은 전혀 없어요. 빌런이라 할 것도 아니구요.정말 아쉽습니다.
",0
"스포일러가 포함된 감상평입니다. 감상평 보기
",1
"히어로는 역시 날아다녀야지
",1
"개노잼 진짜 시간 왤케길어어요 ㅠㅠㅠ 굉장히  지루함
",0
"오타쿠로는 감명깊고 일반인으로는 노잼이다..
",0
"
",0
"마블에 리얼 버라이어티에 익숙해져서 다들 너무 깐깐해진 듯. 그 저스트리그를 만든 디씨가  이 정도 했다는데 의의를 둡니다.이건 제목부터 1984였어요. 연출도 각본도교훈도 레트로입니다. 그 기준에서는 흡족했어요.
",0
"하 진짜 재미없음... 돈아깝 시간아깝
",0
"오래 기다렸다 코로나땜에 못봐서 그러는지.. 히어로물 너무 기대된다
",1
"원더우먼은 재밌다. 인정합니다. 맨오브스틸3 언제 나올려나...
",1
"재미없어요좋은 소재로 말아 먹었어ㅠㅠ
",0
"사람들이 원하는 원더우먼은 배대슈에서 둠스데이 팔 자르던 여전사 같은 모습이지 말하는 자기계발서가 아니야 ㅠㅠㅠ
",0
"스토리도 아주 유치하고 쓸모없는 장면이 너무 많아요,  마지막에 억지로 감동 쥐어짜려해서더 별로입니다. 공감이 하나도 안되요.완전 비추입니다
",0
"진짜 심하네요. 마블 반만이라도 좀 따라가지 개연성 1도 없고 겁나 뜬금없고 필요없는 장면은 왜 이리 많은지
",0
"1편이 극장용 블럭버스터였다면 2편은 TV용 영화 수준.. 제작비 다 어디다 쓴거임 ... 액션 비중도 많지 않아서 놀라울 따름 .. 샤잼이랑 비슷한 수준의 스토리인데 연출력이랑 CG, 특수효과가 더 떨어짐
",0
"생각보다 스토리가 별로였어요 ㅠㅠ 조금 실망스럽네요 지루했습니다
",0
"70~80년대 감성을 노골적으로 담았고 전작의 어두운 분위기와 비장미가 많이 깎였네요.
",0
"재미가 없지는 않지만 다시 보고 싶지는 않은 영화...유치한 스토리, 과하게 웅장한 OST, 매력없는 빌런 갤가돗의 팬이라면 나쁘진 않을듯
",0
"기대이하~ 재미별로~
",0
"DC 다시 살아 날수 있을까
",1
"감독이 페미니스트 인듯 개노잼에 여성우월을 강조하는듯한 ;;
",0
"스포일러가 포함된 감상평입니다. 감상평 보기
",1
"돈과 시간이 아까운 최악의 영화.마지막에 원더우먼이 악당과 호쾌하게 싸우기는 커녕 드러누워서 눈물을 흘리며 악당의 양심에 호소하고 자빠졌... ㅋㅋㅋㅋ 오랜만에 보는 이뭐병 히어로물.
",0
"와... 내가 지금 감독해도 이거보단 나을 듯. 시나리오는 무슨 미취학아동보는 뽀로로 수준. 이게 진짜 어른이만든 스토린가 내눈을 의심함. 주인공 두명때문에 참고 봄. 햐... 별 하나도 아깝다는 생각은 첨인 듯. ...
",0
"개연성부족 스토리구성 부족 대사 오글거림 걍노잼 절대보지마셈
",0
"여주 팬심으로 보았습니다 ㅜㅜ
",0
"진심 이 영화는 초등학생 이상 관람불가로 해야된다. 냉정히 유치원생들에게도 혹평이 쏱아지기 충분한 영화.
",0
"배우때문에 영화봄...그거말고는...
",0
"보다가 잠들었다 어떻게 이게 평점 8점대냐
",0
"이 영화를 10점이나 준다고? 클리셰 범벅에 억지감동에 쓰잘데기 없는 씬 넣어서 분량 늘리기, 전혀 강하지 않은 빌런으로  긴장감 제로, 세계관도 엉망...이 영화로 DC의 한계를 보았고 당분간 마블을 못넘을듯 합니...
",0
"갤 가돗 누나의 탱크 레그프레스 말고는아무것도 없었다..
",0
"DC 작품중 가장 지루한 작품이라 생각 되네요!!비싼 배우 데려와서 저렇게 밖에 못만들었나 하는 생각도 듭니다.액션신은 거의 없고 초반 중반 막판에 잠깐씩 나옵니다.
",0
"자다깻는데도 안끝나서 또잠 런닝타임 어마어마함 시간과 정신의방인줄너무 유치하고 아무것도 기억에 남는게 없음
",0
"시간이랑 돈버린 느낌임 남들은 모르겠으나 나는 너무 재미없고 지루해서 진짜 영화보다가 중간에 집에 가버린적은 이번이 처음 인거 같다
",0
"스토리가 너무 빈약함. 굳이 이 시기에 영화관에서 볼 필요는 없을듯
",0
"DC는 진짜 영화 못 만든다. 일본에서 지겹게 쏟아져나오는 만화나 애니메이션의 실사판 영화들보다도 수준이 낮네.
",0
"1984년에 나왔다면 대흥행 했을지도.. 이 영화에 투자하신 분들 이야기를 듣고 싶습니다.
",0
"전작에비해별로에요..
",0
"
",0
"안타깝게도 DC가 전작의 기대치 않은 성공을 너무 과신한 것 같다. 리부트만이 답이라고 본다.
",0
"내 인생 최고의 꿀잠을 선사한 수면제
",0
"그동안의 영웅물을 좋아했던 사람들을 폭력주의자에 평화를 사랑하지 않는 사람들로 만들어버리는, 아주 대단하고 고결하신 감독님의 영화... 굳이 MCU를 예로 들 필요도 없다. 그래봤자 마블빠가 DC영화 깐다고 욕 하는...
",0
"근데 빌런은 서양인인데 그의 아들은 순 검은색 눈동자 동양인이 나올수있어?
",1
"이걸 영화라고 만든것 자체가 무리~ 졸려서 죽는줄~
",0
"패미우먼존망. 판데믹시즌에 이걸보러 극장에 간 당신이 원더우먼
",0
"
",0
"스포일러가 포함된 감상평입니다. 감상평 보기
",1
"ㅋㅋ내 두 눈을 의심했다..이게 과연 2020년에 나온 영화냐ㅋㅋㅋ보기 시작하면 끝까지 보는 편인데중간에 포기한 최초의 영화다...처음 마트에서 강도들 제압하는 장면보고 아차싶었다ㅋㅋ
",0
"가족끼리 오랫만에 본 영화로서 만족하려했지만 가족 모두 핵노잼에 시간 낭비했다며 아우성이네요 ㅠㅠ 가족간 불화 조성시키는 평점 0.1도 아깝네요. 절대 보지마세요 기대안하고봐도 실망합니다 으아 ㅠㅠ 내시간 돌려줘 ~...
",0
"시간 가는 줄 알고 봤습니다.
",0
"억지 신파 퇴보한 그래픽
",0
"액션매우 매우 아쉬움... 전작은 그래도 갤 가돗 카리스마랑 액션으로 커버쳤다해도 이번 영화는 그것마져 없는듯
",1
"쓰레기 페미영화 그 자체다
",0
"뭔가 다 예상 가능하게 흘러가는 듯한 느낌..
",0
"보지 마세요재미없습니다;;;
",0
"처음 어린시절 및 중간부까지는 볼만했는데 후반부는 진짜 c급 영화 보는 느낌이었음
",0
"액션은 재밋는데 유치함ㅜㅜ
",0
"뭔가  기대한것과는  달리  실망뿐입닏
",0
"히어로 무비이나 장르는 드라마. 액션을 기대했다면 실망할수 있겠음
",0
"의외로 펑펑터지는 액션은 적었고 갤가돗은 예쁩니다.
",1
"재미가 없는건 아닌데... 엉성해요 ㅠ 여주언니 얼굴 몸매 보러 가세요 진짜 언니 얼굴 몸매가 다 했어요
",0
"일생 일대 가장 잼 없는 영화 였습니다그나마 절반은 졸았고 ㅠㅠ
",0
"저는 대사 하나하나가 감명깊고 좋았어요! 취향에 따라 갈리는듯 한데 그래도 저는 추천합니다! 재밌었습니다! 특히 대사가 너무 인상 깊었습니다! ㅎㅎ 이렇게 별점 테러 당할 영화는 아니라고 생각합니다!
",1
"왠지모르게 처음부터 끝까지 은은하게 풀기는 B급 스멜. 루즈한 진행과 연출. 생각보다 실망스러운 영화
",0
"1편은 원더우먼의 등장과 사랑에 빠지고 이별하게 되는 자연스러운 전개에 막강한 빌런으로 볼만했는데2편은 달라진게 없어서 진부한 느낌이고빌런도 먼가 빌런같지 않고 긴장감도 없고 스토리의 전개도 난잡 진짜 개별로...평...
",0
"그냥 보지마 제발ㅈㅈ 부탁이야
",0
"음...일단 재미가 없다. 질질 끌기는 했는데 엔딩마저 감흥이 없네. 이게 최선이었나
",0
"언제는 100년 동안 숨어지냈다고 까더니 슬쩍 기어나와서 영웅질했다고 하니 헛웃음만 나온다 내가 만든 설정도 아니고 니들이 만든 설정인데 좀 지키자
",0
"훌륭한 배우들이 연기를 잘 하는데도 영화가 노잼이라 배우들이 불쌍했다. 평점은 아마 4.7정도 줄수 있을것 같다.. 알바생들이 많은 관람객 평점을 적당히 5점~6점대로 맞춰야 할듯. 오랜만에 전문가 평점 5점대에 동...
",0
"dc야 제발....우리 그러지 말자....이건 아니잖아...cg나오는데 부제가 1984라 옛날 원더우먼 오마주하는줄 알았음 ㅠ...액션???....스토리???...어처구니 없다 진짜. 대체 마사랑 뭐가 다르냐.......
",0
"정말 재미없다. 드럽게....그리고 2시간 반이나...자동차 극장이라 나오지도 못하고
",0
"정성스럽게 만는 똥을 보고온 느낌
",0
"기대감이 커서 그랬는지 몰라도 많이 실망했어요 ; (그냥 예쁘고 잘생긴거 빼면 뭘 말해야 할지도 모르겠어서 조금 당황스러웠네용 ,,
",0
"하나부터 열까지 제대로 된 구석이 없음 진짜 엉망진창 그 자체 영화가 빨리 끝나길 바랬음 평점 빨리 남기고 싶어서 아주 보면서 후반부부턴 화가 치밀어 오름 진짜 개판인 부분 많은데 그 중에 제일 개판인게 다이애나 없...
",0
"돈을 날리고 싶으십니까? 그럼 보십쇼.
",0
"재미 없다 내돈 11000원 돌리도
",0
"그래 나도 소원하나 빌어보자, 이거 보기전으로 돌아가달라고 감기는 눈 속 펼쳐지는 DC의 종말.
",1
"평점
",1
"DC 최악의 영화. 이거 보러 극장 간 사람들이 겁나 불쌍하다.
",0
"뭐야 내 원더우먼 돌려줘요
",0
"망작이네ㅜ 돈다주고 본 미친
",0
"힘들다. 정말로 힘들다..
",0
"이 영화 볼 돈을 차라리 쫙쫙 찢어서 길바닥에 뿌리는게 더 나은 영화입니다 개연성 없고 자꾸 주인공은 쫄면사리같은 줄로 휘리릭 거리다 끝나는 영화입니다남자빌런은 지가 지니인지 자꾸 소원이뭐야 소원을 이뤄줄께 (소녀시...
",1
"잼 없음... 보다가 잠...갈수록 재미있는 영화가 없음.... 아마 내가 늙어서 그런지도...ㅋㅋㅋㅋ좋은점은 하나도 없는데 뭘 골라야 하나요? 걍 의무감?으로 본 영화..
",0
"스포일러가 포함된 감상평입니다. 감상평 보기
",1
"그저....웃지요
",0
"84년에 개봉해도 실패할망작,,,극장개봉안한건 재미없어서 실패할걸 알고있었기때문,,,,
",0
"설날 특선영화로도 보기싫은정도
",0
"1984년에도 이렇게 재미없는 영화는 없었을듯
",0
"약하다 약해...연출도 약하고 액션도 약하고 빌런도 약하고 무엇하나 1편보다 나은게 없다
",0
"아니 영화가 왜 유아용이 됐어?
",0
"되게 지루해요 재미 없어요
",0
"정말1984년 외화시리즈 보는듯..스토리도 연출도.
",1
"올해 본 영화중 최악....별 반개도 아까움...
",0
"갤가돗 찐팬 아니라면 영화 내내 2시간30분 정도가 미치도록 안가기는 처음.
",0
"2시간 30분이나 영화를 볼 필요가 있었나 싶습니다.이 영화는 마치 코로나가 1000명 넘게 나오는 이 시국에 영화관을 가는 시민들을 우롱하는 영화가 아닌가 싶다. 뻔한 연출에 뻔한 결말 한국의 전래동화보다 못하다....
",0
"기대치는 항상 마블 이상이지만 결과는 참혹하다.
",1
"왜 DC 히어로물이 망하는지 보여주는 진부한 스토리..1. 원더우먼 성장이야기는 왜 들어갔는지..2. 여자악역은 대체 왜 흑화한 것인지..3. 남자악역은 대체 무슨 목적이 있었던 것인지..진짜 시간 아까운 영화..
",0
"뭘보고 3편까지 만드냐 ㅋㅋ투자자 뒷통수 엄청 맞겠구만
",0
"이케릭터를 가지고도 이렇게 말아먹을수도있구나 싶네B급이하다
",0
"어떻게든 2시간을 채우겠다는 감독의 집념이 담긴 영화ㅋㅋ보다가 뛰쳐나옴
",0
"어릴적 보던 파워레인저보다 못함..장르가 뭔지도 모르겠음...
",0
"갤 가돗 팬이고, 원더우먼을 좋아하지만, 이건 정말 아니다 싶다.스토리, 개연성 다 개나 줘버린 영화. 오로지 갤 가돗의 연기와 매력이 5점 이나마 주게 만들었지만,갤 가돗의 매력와 연기력으로도 도저히 커버가 안 될...
",0
"너무나도 지루해서 시계를 몇 번이나 봤는지 모른다. 원더우먼이 날아가는 cg는 기가 막혀서 웃음조차 안 나옴.
",0
"디씨가 디씨했을뿐...
",0
"원더우먼이 나오는 브루스 올마이티.가장 박진감 넘치는 장면은 장갑차가 택시를 친 장면.
",0
"아..역시 기대를 넘 많이했어..ㅜ
",1
"씹노잼 배우빼곤 볼게없음
",0
"기대 이하에 스토리가 너무 진부합니다.
",0
"보다가 졸다가 나옴시간아까비
",0
"진짜 재미없어요  돈만 아까워요 왤케 평점이 좋은걸까요 ? 저만 이상한건가요 ?
",0
"박진감있게 줄여서 2시간으로 했으면 좋았을 거 같은데...하는 아쉬움이 있습니다. 도입부 30분 정도만 좋고 나머진 지루했어요. 원더우먼 예뻐서 참고봤어요.
",0
"이 감독은 무슨 빽이 있어서 감독을 할까? 자리에 앉아 있는게 고통인 영화. 그냥 망작임.
",0
"액션인데 중간중간 졸림
",0
"단순하고 유치하더라.
",0
"다큐인가 영화인가이게 뭔가
",0
"2020년도 마지막 액땜영화
",1
"솔직히..액션도 그닥 내용은 더 그닥...
",0
"예전부터 원더우먼 팬이라 이번에도 그냥 원더우먼 만날 생각으로 기쁜 마음으로 보기시작했는데 ""러닝타임이 길어서 더 많이 볼 수 있겠구나!"" 하고 느낀 건 바보같은 생각이었음이 시작하고 30분 안에 결정...
",1
"내가 뭘본거지 ...90년대로 퇴보한느낌
",0
"코로나를 무릅쓰고 2시간반동안 마스크를 쓰며 이런 고통을 돈과 시간을 들여야하는 자괴감 그자체. 식상한 연출. 질질끄는 연출. 왜 1점을 줘야하는지 모르겠다. 그냥 쓰레기 영화다.갤 가돗 빼고는 없다.
",0
"10점 만점에6점 굿
",1
"아 DC 는 왜이렇게 망해갈까...
",0
"이딴걸 영화라고ㅋㅋ연출이나 CG도 어설프고유치함의 끝;;하 배트맨  하나기다린다 ㅜㅜ
",0
"
",0
"갤가돗과 크리스파인의 애틋함 빼곤한스짐머의 음악이 아깝고 어린시절 다이애나 액션보다 나은게 없으며 아이맥스는 사치다 코로나와 전혀 상관없는 영화.
",0
"걍 재미없음 cg도 별로고 스토리 전개도 별로임 중간에 오줌싸러 가길 잘했음
",0
"정확히 영화시작하고 1시간10분동안 액션신 1번나와요. 그것도 그냥 초반에 등장신? 마트에서 강도잡는거. 그뒤로는 말만 많고 지루해서 잠들었네요
",0
"심각하게 망했다. DC 특유의 분위기는 물론이고 스토리, 영상미는 왜 이렇게 처참한지. 원더우먼 어디갔어요? 이건 뭐 킹스맨 카피캣인가? 타이타닉이야? 이런 와중에도 배우들이 연기는 잘하더라....근데 바람을 왜 느...
",0
"스포일러가 포함된 감상평입니다. 감상평 보기
",1
"최종빌런 풍둔 아가리술로 조지는거 보고 DC에 대한 기대감이 더 하락하였다. 저스티스 리그는 새로 찍는다던데 글쎄..
",0
"스포일러가 포함된 감상평입니다. 감상평 보기
",1
"영화보다나온거 난생처음 ㅎ
",0
"액션보단 드라마. 크리스마스고 연말이고 뭐 하지도 못 하는데 분위기라도 느끼면서 기분전환 할 수 있어서 좋았어요. 그냥 개봉해 준 것만으로도 고마움. 올해 워낙 영화가 없었어서ㅠ..
",1
"갤가돗  정말 이쁘다^^. 현실을 인정하고 진실을 받아들이고 살아야지!!
",1
"cg와 연출이 시대를 역행하네...
",0
"1탄 만든 감독이 만든 2탄 맞나요?
",0
"머하나 집중이 안돼는 영화, 겔가롯???
",0
"스포일러가 포함된 감상평입니다. 감상평 보기
",1
"개연성 없는 스토리..;; 1984라는 타이틀만 달았지 80년대 레트로느낌 전혀없음. 1편 처럼 신의 실체가 나오는것도 아니고 그냥 소원빌면 다 이뤄짐 ㅋㅋ할리우드 배우로 클레멘타인 리메이크한 느낌..;; 그냥 마블...
",1
"1편과 비교할수 없음 최악임
",0
"개막장 쓰레기  드럽게 맴없다
",0
"오랜만에 극장왔다가 돈아깝다는 생각만하고 돌아감
",0
"솔직히 말하면 연기부터 연출까지 졸라 구림 그래도 생각보다 스토리는 ㄱㅊ음 근데 연출이 진짜 에바임 원더우먼이 갑자기 슈퍼맨이 되지를 않나 걍.. 없었던 일로 하고 다시 찍어줬으면 좋겠음
",0
"액션, 스토리, 연출 어느 하나 내세울게 없는 영화.전작과 같은 감독이라는게 놀라울 뿐...1984에는 다 빠지고 갤 가돗 하나만 남았다...
",0
"패미색짙어 재미없음 실망임
",0
"CG 는 조잡,  스토리, 연출 모든게 그냥 평범이하
",0
"진짜 엄청 지루하고 재미없어요 초등학생 3학년인 제가 봤는데 최악중에 최악인 영화 베스트 1위네요..저희 엄마는 보다가 그냥 잤어요...진짜 평점 0점 주고 싶네요!!진짜 절대 보지마세요!!!기대 안하고 봤는데 실망...
",0
"슈퍼맨 흉내내어 시간 끌고 감동이 없다
",0
"하....;;실망스러워요::
",0
"앞10분에 cg 쏟아부었나하늘 날아다닐때 cg가 이상하네
",0
"이 영화는 처음부터 끝까지 망작이었다. 딱 하나 쿠키영상만 잘 살렸어.
",0
"실망스러운 건 분명~나올만게 없어서 떼우기식으로나온건 아닌지초반은 좋았는데
",0
"초등학생을 겨냥한 영화다. 성인이 보기에는 이상한 계몽주의가 느껴집니다.
",0
"기대가 커서였는지 생각만큼은 아니였고 엔딩부분이 너무 약하네요^^
",0
"ㅈ같은 후반부 스토리 어쩔거냐주연두명보는재미없었음 ㅅ1ㅂ ...
",0
"역시  DC는 우리의 기대를 저버리네
",1
"초중반은 배경에 맞게 복고풍이고 괜찮았는데... 뒤로 가면서 얘기가 헐거워지거나 이거 이러지 않을까 하는 예측이 너무 들어맞기 시작하면 김이 좀 새죠...
",0
"역대급 노재영화 보다가 졸았다 ㄹㅇ
",0
